Gemeinde,Verwaltungskreis,Disparitätenabbau,Mindestausstattung,Pauschale Abgeltung,Geo-topo Zuschuss,Sozio-demo Zuschuss
Adelboden,Frutigen-Niedersimmental,906011.34219441,324785,0,697527,26901
Aeschi b.Sp.,Frutigen-Niedersimmental,511032.48780055,185743,0,172434,11883
Frutigen,Frutigen-Niedersimmental,1655422.05008359,567552,0,400555,47705
Kandergrund,Frutigen-Niedersimmental,379564.704424088,373268,0,331882,5426
Kandersteg,Frutigen-Niedersimmental,225367.484736768,0,0,991598,16582
Krattigen,Frutigen-Niedersimmental,179462.634434579,0,0,0,9186
Reichenbach i.K.,Frutigen-Niedersimmental,989731.294647249,529624,0,1223647,20337
Beatenberg,Interlaken-Oberhasli,228536.318435677,9346,0,357986,15389
Bönigen,Interlaken-Oberhasli,715115.18342578,401375,0,0,18159
Brienz,Interlaken-Oberhasli,658561.680058079,98497,0,277532,29837
Brienzwiler,Interlaken-Oberhasli,139843.303419657,64576,0,167220,4087
Därligen,Interlaken-Oberhasli,99345.2987066738,30798,0,36496,4046
Grindelwald,Interlaken-Oberhasli,-335406.358154379,0,0,1285756,41832
Gsteigwiler,Interlaken-Oberhasli,123796.893344178,67166,0,28768,3823
Gündlischwand,Interlaken-Oberhasli,113967.110148408,97930,0,103304,998
Habkern,Interlaken-Oberhasli,306916.464027692,309618,0,594510,5604
Hofstetten b.B.,Interlaken-Oberhasli,190394.445440454,132725,0,99388,5530
Interlaken,Interlaken-Oberhasli,-479261.373369041,0,0,0,108577
Iseltwald,Interlaken-Oberhasli,81622.3528950347,0,0,284297,4888
Lauterbrunnen,Interlaken-Oberhasli,-61840.0461132406,0,0,1118593,37715
Leissigen,Interlaken-Oberhasli,156948.959960284,0,0,36160,7919
Lütschental,Interlaken-Oberhasli,85396.0709138612,65302,0,164292,2557
Matten b.I.,Interlaken-Oberhasli,889292.090214094,252402,0,0,47391
Niederried b.I.,Interlaken-Oberhasli,65648.4666887484,0,0,15817,2552
Oberried a.Br.-S.,Interlaken-Oberhasli,124956.901047426,49536,0,121027,3147
Ringgenberg,Interlaken-Oberhasli,695143.895796056,318076,0,0,25261
Saxeten,Interlaken-Oberhasli,42556.8848300648,38404,0,121600,1322
Schwanden b.B.,Interlaken-Oberhasli,160946.228232073,69028,0,66425,4319
Unterseen,Interlaken-Oberhasli,481334.311171722,0,0,0,64105
Wilderswil,Interlaken-Oberhasli,464088.835108648,0,0,0,21186
Gadmen,Interlaken-Oberhasli,30913.4697778936,0,0,286800,1751
Guttannen,Interlaken-Oberhasli,-291247.51865652,0,0,0,1310
Hasliberg,Interlaken-Oberhasli,266934.989164671,36189,0,465433,11185
Innertkirchen,Interlaken-Oberhasli,-53423.3887106535,0,0,984654,5166
Meiringen,Interlaken-Oberhasli,665916.536642143,0,0,77994,52122
Schattenhalb,Interlaken-Oberhasli,118134.468684357,0,0,323073,5256
Gsteig,Obersimmental-Saanen,26084.7044776845,0,0,538297,8540
Lauenen,Obersimmental-Saanen,-30055.5985665338,0,0,516260,6619
Saanen,Obersimmental-Saanen,-10064926.3474763,0,0,0,93804
Därstetten,Frutigen-Niedersimmental,368559.895189807,342991,0,399306,5346
Diemtigen,Frutigen-Niedersimmental,777460.641754602,602084,0,1700914,17033
Erlenbach i.S.,Frutigen-Niedersimmental,506858.387756714,287865,0,397402,12383
Niederstocken,Thun,103960.972837822,89967,0,25897,1613
Oberstocken,Thun,125373.820541437,117240,0,15245,2175
Oberwil i.S.,Frutigen-Niedersimmental,337940.474088012,306539,0,569152,5894
Reutigen,Thun,237548.116715636,80818,0,71557,4478
Spiez,Frutigen-Niedersimmental,903443.099210551,0,0,0,106062
Wimmis,Frutigen-Niedersimmental,492550.95820225,45044,0,104854,21030
Boltigen,Obersimmental-Saanen,596454.98287216,551780,0,927423,8946
Lenk,Obersimmental-Saanen,118444.419701092,0,0,1116829,23691
St. Stephan,Obersimmental-Saanen,479804.545126426,353607,0,646860,10951
Zweisimmen,Obersimmental-Saanen,499099.621150919,0,0,744886,24554
Amsoldingen,Thun,163660.075196006,10016,0,4875,3804
Blumenstein,Thun,361699.196724855,222751,0,77701,7785
Buchholterberg,Thun,498217.824831282,335666,0,143672,8217
Eriz,Thun,248188.06039281,253537,0,239875,4007
Fahrni,Thun,244879.862971008,167690,0,11924,3767
Heiligenschwendi,Thun,152390.753421266,38216,0,22974,6405
Heimberg,Thun,665505.126737691,0,0,0,58593
Hilterfingen,Thun,-849831.236243591,0,0,0,36037
Höfen,Thun,152332.679822272,117211,0,32665,3122
Homberg,Thun,194768.780742173,163476,0,60955,1677
Horrenbach-Buchen,Thun,145894.188251173,162263,0,254841,1109
Oberhofen,Thun,-346873.265799477,0,0,0,20905
Oberlangenegg,Thun,212802.292878375,198102,0,55178,3192
Pohlern,Thun,109477.635798684,95775,0,118973,1610
Schwendibach,Thun,89268.3051414163,64390,0,1443,1079
Sigriswil,Thun,328969.674404709,0,0,322104,41977
Steffisburg,Thun,1137805.90284715,0,0,0,163299
Teuffenthal,Thun,78593.2503888658,76013,0,63369,984
Thierachern,Thun,542947.443020752,157630,0,0,11077
Thun,Thun,1027588.11283757,0,8995000,0,551967
Uebeschi,Thun,264720.65277014,217157,0,0,2975
Uetendorf,Thun,714503.820201728,0,0,0,41862
Unterlangenegg,Thun,366191.42841322,319801,0,40059,5670
Wachseldorn,Thun,109371.059337148,108029,0,84034,2137
Zwieselberg,Thun,96208.5337801688,72062,0,6308,984
Forst-Längenbühl,Thun,216300.110690266,132583,0,0,3548
Bremgarten b.B.,Bern-Mittelland,-1117638.31285255,0,0,0,29961
Kirchlindach,Bern-Mittelland,-547054.341772321,0,0,0,18895
Köniz,Bern-Mittelland,-6337030.97425645,0,0,0,524866
Muri b.B.,Bern-Mittelland,-12891777.19852,0,0,0,117668
Oberbalm,Bern-Mittelland,294781.793765521,209414,0,102868,5023
Stettlen,Bern-Mittelland,-346228.718862503,0,0,0,27904
Vechigen,Bern-Mittelland,-217879.727633888,0,0,0,28665
Wohlen b.B.,Bern-Mittelland,-1184644.1583156,0,0,0,71031
Zollikofen,Bern-Mittelland,-1193683.31711397,0,0,0,155567
Bolligen,Bern-Mittelland,-1400057.26638418,0,0,0,43895
Ittigen,Bern-Mittelland,-7172261.53915796,0,0,0,168483
Ostermundigen,Bern-Mittelland,590733.377150214,0,0,0,304914
Bangerten,Seeland,29946.2509342402,0,0,30435,1177
Bätterkinden,Emmental,372490.709479606,0,0,0,27514
Büren z.H.,Bern-Mittelland,47259.510487332,0,0,1749,1570
Deisswil b.M.,Bern-Mittelland,-22794.5767690588,0,0,37822,318
Diemerswil,Bern-Mittelland,-13455.5093487199,0,0,24612,477
Etzelkofen,Bern-Mittelland,1748.68328919218,0,0,16147,1529
Fraubrunnen,Bern-Mittelland,62916.5314456524,0,0,0,10989
Grafenried,Bern-Mittelland,-2334.47154407203,0,0,0,4550
Jegenstorf,Bern-Mittelland,-215779.81007964,0,0,0,38422
Iffwil,Bern-Mittelland,60040.5117840983,0,0,56391,1498
Limpach,Bern-Mittelland,76402.4165118206,14251,0,17867,1837
Mattstetten,Bern-Mittelland,-69945.0969588994,0,0,20324,3176
Moosseedorf,Bern-Mittelland,-275382.118041489,0,0,0,56258
Mülchi,Bern-Mittelland,93235.2122942321,80106,0,46248,785
Münchenbuchsee,Bern-Mittelland,-510970.935269738,0,0,0,115565
Münchringen,Bern-Mittelland,81282.4448314396,0,0,4753,2267
Ruppoldsried,Seeland,70845.5068672631,33357,0,3217,613
Schalunen,Bern-Mittelland,104562.333113975,49988,0,0,3492
Scheunen,Bern-Mittelland,35283.516483338,32742,0,32046,230
Urtenen-Schönbühl,Bern-Mittelland,41497.7494157924,0,0,0,82432
Utzenstorf,Emmental,437373.99559762,0,0,0,39497
Wiggiswil,Bern-Mittelland,9783.35965897338,0,0,28901,700
Wiler b.U.,Emmental,72226.9287164891,0,0,13404,6328
Zauggenried,Bern-Mittelland,62485.3488387743,0,0,38889,1718
Zielebach,Emmental,75556.3703557802,17964,0,14158,2050
Zuzwil,Bern-Mittelland,25363.6328106017,0,0,6267,2784
Arni,Bern-Mittelland,367673.639141345,304624,0,95552,5986
Biglen,Bern-Mittelland,418022.280834639,130218,0,0,14394
Bleiken b.O.,Bern-Mittelland,162146.16374816,148708,0,26534,1302
Bowil,Bern-Mittelland,500340.000617481,388236,0,90696,6672
Brenzikofen,Bern-Mittelland,162346.699541148,96507,0,0,2350
Freimettigen,Bern-Mittelland,102690.141759812,31900,0,825,2328
Grosshöchstetten,Bern-Mittelland,33793.8808600167,0,0,0,27169
Häutligen,Bern-Mittelland,43054.5823832058,0,0,10285,1079
Herbligen,Bern-Mittelland,160838.154194946,91138,0,3238,2825
Kiesen,Bern-Mittelland,17550.6668559435,0,0,21081,3857
Konolfingen,Bern-Mittelland,319298.187604951,0,0,0,40559
Landiswil,Bern-Mittelland,324306.278897029,339227,0,127089,4209
Linden,Bern-Mittelland,544670.018424972,482090,0,104230,10534
Mirchel,Bern-Mittelland,103312.500736414,0,0,5272,1840
Münsingen,Bern-Mittelland,-852743.550136017,0,0,0,105967
Niederhünigen,Bern-Mittelland,191564.272537055,108166,0,60500,3257
Oberdiessbach,Bern-Mittelland,402676.837908002,0,0,0,18468
Oberthal,Bern-Mittelland,326556.025884192,291076,0,109126,3827
Oppligen,Bern-Mittelland,98254.8298903824,0,0,0,3224
Rubigen,Bern-Mittelland,-72537.4368929094,0,0,0,20341
Wichtrach,Bern-Mittelland,401291.546248972,0,0,0,27012
Tägertschi,Bern-Mittelland,72467.2391735206,0,0,6220,1725
Walkringen,Bern-Mittelland,525091.77844328,276452,0,77148,12757
